doc_id,court_code,judgment_code,justice_kind,category_code,cause_num,adjudication_date,receipt_date,judge,doc_url,status,date_publ
71386450,2034,5.0,2.0,2002.0,635/5493/17,2017-12-27 00:00:00+02,2018-01-02 00:00:00+02,Пілюгіна О. М.,http://od.reyestr.court.gov.ua/files/35/6e6e12832c6eb26efc08edf2bd160c08.rtf,1,2018-01-04 00:00:00+02
71377619,2523,5.0,2.0,2002.0,748/2226/14-к,2017-12-26 00:00:00+02,2018-01-02 00:00:00+02,Кухта В. О.,http://od.reyestr.court.gov.ua/files/35/f0f3f97ade2c46bd134d6b9a9221b80d.rtf,1,2018-01-04 00:00:00+02
71376176,2107,5.0,2.0,2002.0,653/504/16-к,2017-01-26 00:00:00+02,2018-01-02 00:00:00+02,Крапівіна О. П.,http://od.reyestr.court.gov.ua/files/35/6f8f2070c1f0cf219978d7dd4c02c319.rtf,1,2018-01-04 00:00:00+02
71376242,2107,5.0,2.0,2002.0,653/504/16-к,2017-11-30 00:00:00+02,2018-01-02 00:00:00+02,Крапівіна О. П.,http://od.reyestr.court.gov.ua/files/35/7fe12a095d4c8fea002b1cd06f9c408c.rtf,1,2018-01-04 00:00:00+02
71376551,2190,5.0,2.0,2002.0,791/167/17,2017-11-29 00:00:00+02,2018-01-02 00:00:00+02,Калініна О. В.,http://od.reyestr.court.gov.ua/files/35/dc58cda9a3ed7a79860a91a408e6b140.rtf,1,2018-01-04 00:00:00+02
71359868,1003,5.0,2.0,2002.0,357/15971/17,2017-12-29 00:00:00+02,2018-01-02 00:00:00+02,Закаблук О. В.,http://od.reyestr.court.gov.ua/files/35/e6a988af931bd7609bdf7022cfbf1735.rtf,1,2018-01-04 00:00:00+02
71375746,2107,5.0,2.0,2002.0,653/504/16-к,2016-12-22 00:00:00+02,2018-01-02 00:00:00+02,Крапівіна О. П.,http://od.reyestr.court.gov.ua/files/35/28c0d10ecbafb3ec85c8bb2b37edb014.rtf,1,2018-01-04 00:00:00+02
71364794,1013,5.0,2.0,2002.0,367/2900/14-к,2015-06-30 00:00:00+03,2018-01-02 00:00:00+02,Линник В. Я.,http://od.reyestr.court.gov.ua/files/35/48d3459524a2dbac8d9bbda32902cd2f.rtf,1,2018-01-04 00:00:00+02
71366286,2390,5.0,2.0,2002.0,694/1343/16-к,2017-12-27 00:00:00+02,2018-01-02 00:00:00+02,Соломка І. А.,http://od.reyestr.court.gov.ua/files/35/c7be20756c92585f20490c30c9e3691d.rtf,1,2018-01-04 00:00:00+02
71374623,1527,5.0,2.0,2002.0,523/1427/14-к,2017-12-27 00:00:00+02,2018-01-02 00:00:00+02,Боднар С. М.,http://od.reyestr.court.gov.ua/files/35/0aeb78d3512565b1d4f12dcb79f335b4.rtf,1,2018-01-04 00:00:00+02
71371260,290,5.0,2.0,2002.0,136/2008/17,2017-12-29 00:00:00+02,2018-01-02 00:00:00+02,Ковальська І. А.,http://od.reyestr.court.gov.ua/files/35/5182d60b398111bbbd9724df743e1aef.rtf,1,2018-01-04 00:00:00+02
71363379,1631,5.0,2.0,2002.0,534/18/17,2017-11-24 00:00:00+02,2018-01-02 00:00:00+02,Вергун Н. В.,http://od.reyestr.court.gov.ua/files/35/ccbeb022db39e1735707a7080a7a6d09.rtf,1,2018-01-04 00:00:00+02
71359308,408,2.0,2.0,2002.0,1-79/05,2017-12-27 00:00:00+02,2018-01-02 00:00:00+02,Хлистуненко О. В.,http://od.reyestr.court.gov.ua/files/35/dd875d81c171d4037723b703d653d499.rtf,1,2018-01-04 00:00:00+02
71352540,707,5.0,2.0,2002.0,303/7357/17,2017-12-29 00:00:00+02,2018-01-02 00:00:00+02,Куропятник О. М.,http://od.reyestr.court.gov.ua/files/35/31b5685c877b2ec12d62b82cb3dd86dc.rtf,1,2018-01-04 00:00:00+02
71356412,1390,5.0,2.0,2002.0,461/7305/14-к,2017-12-29 00:00:00+02,2018-01-02 00:00:00+02,Гончарук Л. Я.,http://od.reyestr.court.gov.ua/files/35/8d4ce7dc708a4843b8650777f2ed2dc4.rtf,1,2018-01-04 00:00:00+02
71366523,2601,5.0,2.0,2002.0,752/6884/17,2017-12-21 00:00:00+02,2018-01-02 00:00:00+02,Рудик І. В.,http://od.reyestr.court.gov.ua/files/35/b19686a67fdbe3f7ad771f8028368207.rtf,1,2018-01-04 00:00:00+02
71382282,429,5.0,2.0,2002.0,185/7817/16-к,2017-12-26 00:00:00+02,2018-01-02 00:00:00+02,Головін В. О.,http://od.reyestr.court.gov.ua/files/35/c4323b18faf521fce9f0d9da8acc989f.rtf,1,2018-01-04 00:00:00+02
71376165,2107,5.0,2.0,2002.0,653/504/16-к,2016-10-19 00:00:00+03,2018-01-02 00:00:00+02,Крапівіна О. П.,http://od.reyestr.court.gov.ua/files/35/0525d53db27b193e1e3d7fa5ed24876e.rtf,1,2018-01-04 00:00:00+02
71376211,2107,5.0,2.0,2002.0,653/504/16-к,2016-10-27 00:00:00+03,2018-01-02 00:00:00+02,Крапівіна О. П.,http://od.reyestr.court.gov.ua/files/35/cda2d7a34090be69312ecbf90fe6c6f9.rtf,1,2018-01-04 00:00:00+02
71376240,2108,5.0,2.0,2002.0,654/3296/17,2017-12-28 00:00:00+02,2018-01-02 00:00:00+02,Францішко Ю. В.,http://od.reyestr.court.gov.ua/files/35/608666bf7248ef9e2011b6c7db18c2f8.rtf,1,2018-01-04 00:00:00+02
71379185,408,5.0,2.0,2002.0,210/1543/16-к,2017-12-28 00:00:00+02,2018-01-02 00:00:00+02,Сільченко В. Є.,http://od.reyestr.court.gov.ua/files/35/d04c26fe8a87eda81c60bec142baa317.rtf,1,2018-01-04 00:00:00+02
71378035,403,5.0,2.0,2002.0,200/20396/16-к,2017-12-21 00:00:00+02,2018-01-02 00:00:00+02,Марущак С. Л.,http://od.reyestr.court.gov.ua/files/35/f2bdb83f907500be6baf08192093105d.rtf,1,2018-01-04 00:00:00+02
71375006,1590,5.0,2.0,2002.0,521/17326/16-к,2017-12-19 00:00:00+02,2018-01-02 00:00:00+02,Грідіна Н. В.,http://od.reyestr.court.gov.ua/files/35/5ed90f3737ac0964166e439dff622e27.rtf,1,2018-01-04 00:00:00+02
71365050,1013,5.0,2.0,2002.0,363/2259/16-к,2016-06-17 00:00:00+03,2018-01-02 00:00:00+02,Линник В. Я.,http://od.reyestr.court.gov.ua/files/35/1279b2ae6177e1776752af4bd2f729b2.rtf,1,2018-01-04 00:00:00+02
71365120,1013,5.0,2.0,2002.0,369/8/13-к,2016-06-01 00:00:00+03,2018-01-02 00:00:00+02,Линник В. Я.,http://od.reyestr.court.gov.ua/files/35/cfd5ce90ff65405e5a6c844cff34b5c8.rtf,1,2018-01-04 00:00:00+02
71375755,2107,5.0,2.0,2002.0,653/504/16-к,2017-05-23 00:00:00+03,2018-01-02 00:00:00+02,Крапівіна О. П.,http://od.reyestr.court.gov.ua/files/35/485844b8f212b4c028b23a32ede30be0.rtf,1,2018-01-04 00:00:00+02
71375761,2107,5.0,2.0,2002.0,653/504/16-к,2017-10-12 00:00:00+03,2018-01-02 00:00:00+02,Крапівіна О. П.,http://od.reyestr.court.gov.ua/files/35/7d480454af7d7742454fa39c8cdde458.rtf,1,2018-01-04 00:00:00+02
71360202,1003,5.0,2.0,2002.0,357/15971/17,2017-12-29 00:00:00+02,2018-01-02 00:00:00+02,Закаблук О. В.,http://od.reyestr.court.gov.ua/files/35/1badfe73675442b6ed3bf0aee903c3bb.rtf,1,2018-01-04 00:00:00+02
71360613,1013,5.0,2.0,2002.0,363/2891/16-к,2016-11-16 00:00:00+02,2018-01-02 00:00:00+02,Линник В. Я.,http://od.reyestr.court.gov.ua/files/35/e3e88c839512cf8b694530a2bca1ab1b.rtf,1,2018-01-04 00:00:00+02
71353878,1304,1.0,2.0,2002.0,461/10489/15-к,2017-12-27 00:00:00+02,2018-01-02 00:00:00+02,Юрків О. Р.,http://od.reyestr.court.gov.ua/files/35/80e0b92c9e6acc5ec51beb9d3988ff12.rtf,1,2018-01-04 00:00:00+02
71361887,1090,5.0,2.0,2002.0,381/4336/17,2017-12-29 00:00:00+02,2018-01-02 00:00:00+02,Орел А. І.,http://od.reyestr.court.gov.ua/files/35/7d20236660bf66240b033aa91fdfdf93.rtf,1,2018-01-04 00:00:00+02
71352376,712,5.0,2.0,2002.0,308/8903/13-к,2017-04-14 00:00:00+03,2018-01-02 00:00:00+02,Придачук О. А.,http://od.reyestr.court.gov.ua/files/35/01efa8eba05d877fa1cfbd76295adf72.rtf,1,2018-01-04 00:00:00+02
71353804,819,5.0,2.0,2002.0,323/1486/17,2017-12-28 00:00:00+02,2018-01-02 00:00:00+02,Мінаєв М. М.,http://od.reyestr.court.gov.ua/files/35/95b65b0d818eda607e875ae8fe97c5ce.rtf,1,2018-01-04 00:00:00+02
71353697,819,5.0,2.0,2002.0,323/1486/17,2017-12-28 00:00:00+02,2018-01-02 00:00:00+02,Мінаєв М. М.,http://od.reyestr.court.gov.ua/files/35/be4c832ca078ecd79dcdb367117e5275.rtf,1,2018-01-04 00:00:00+02
71366392,2601,5.0,2.0,2002.0,752/6884/17,2017-11-20 00:00:00+02,2018-01-02 00:00:00+02,Рудик І. В.,http://od.reyestr.court.gov.ua/files/35/5ff8408a5501228a5f77e5c195130e92.rtf,1,2018-01-04 00:00:00+02
71376977,2190,1.0,2.0,2002.0,668/3407/15-к,2016-06-30 00:00:00+03,2018-01-02 00:00:00+02,Калініна О. В.,http://od.reyestr.court.gov.ua/files/35/37fa95ed33a8e5dcb6c272d1dffe2f57.rtf,1,2018-01-04 00:00:00+02
71376190,2107,1.0,2.0,2002.0,653/504/16-к,2017-11-30 00:00:00+02,2018-01-02 00:00:00+02,Крапівіна О. П.,http://od.reyestr.court.gov.ua/files/35/7ce97c3ed29d5166ed0b8c8ab5b1d938.rtf,1,2018-01-04 00:00:00+02
71350419,527,5.0,2.0,2002.0,233/6515/17,2017-12-27 00:00:00+02,2018-01-02 00:00:00+02,Міросєді А. І.,http://od.reyestr.court.gov.ua/files/35/b50fdae2627039a661f37c48fec02f66.rtf,1,2018-01-04 00:00:00+02
71352563,712,2.0,2.0,2002.0,308/8903/13-к,2017-02-17 00:00:00+02,2018-01-02 00:00:00+02,Придачук О. А.,http://od.reyestr.court.gov.ua/files/35/1a48367069f48bb625f466529e55d546.rtf,1,2018-01-04 00:00:00+02
